,Game of Throws_VS_Kindha's Disappointments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Kyle Sprysa,Pass,Sebastien Belanger,Pass,Edwin Wong,Pass,Kyle Sprysa,Pass,Sebastien Belanger,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Mark Donahue,Pass,Cassandra Cheung,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Justine Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Chris Tran,Pass,Kevin Hughes,Pass,Nick Vetvut,Pass,Justine Price,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Al Colantonio,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Patrick Gauvin,Pass,Al Colantonio,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Christopher LaFleur,Pass,Justine Price,Pass,Chris Tran,Pass,Justine Price,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Mark Donahue,Pass,Matt Masse,Pass,James King,Pass,Matt Masse,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Edwin Wong,Pass,Sebastien Belanger,Pass,Nick Vetvut,Pass,Sebastien Belanger,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Mark Donahue,Pass,Al Colantonio,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Kevin Hughes,Pass,Justine Price,Pass,Chris Tran,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Kirsten Querbach,Pass,Patrick Gauvin,Pass,Al Colantonio,Pass,Will Leckie,Pass,Patrick Gauvin,Pass,Al Colantonio,Pass,Cassandra Cheung,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Sebastien Belanger,Pass,Chris Tran,Pass,Sebastien Belanger,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Celine Dumais,Pass,Christopher Kraft,Pass,James King,Pass,Matt Masse,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Kevin Hughes,Pass,Justine Price,Pass,Nick Vetvut,Pass,Christopher LaFleur,Pass,Justine Price,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Cassandra Cheung,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Cassandra Cheung,,,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Kevin Hughes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Kyle Sprysa,Pass,Justine Price,Pass,Kevin Hughes,Pass,Christopher LaFleur,Pass,Justine Price,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Drop,Celine Dumais,Pass,Christopher Kraft,Pass,Matt Masse,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Sebastien Belanger,Pass,Nick Vetvut,Pass,Sebastien Belanger,Pass,Chris Tran,Pass,Sebastien Belanger,Pass,Edwin Wong,Pass,Sebastien Belanger,Pass,Christine Beals,Pass,Sebastien Belanger,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Mark Donahue,Pass,Cassandra Cheung,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Carissa Wong,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Justine Price,Pass,Nick Vetvut,,,,,,,,,,,,,,,,,,,,,,,,
,Direction,<<<<<<,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D,Will Leckie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Throw Away,Will Leckie,Pass,Patrick Gauvin,Pass,Al Colantonio,Pass,Will Leckie,Pass,Al Colantonio,,,,,,,,,,,,,,,,,,
,Direction,>>>>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,POINT,Justine Price,Pass,Nick Vetvut,Pass,Christopher LaFleur,Pass,Kevin Hughes,Pass,Kyle Sprysa,Pass,Nick Vetvut,Pass,Justine Price,,,,,,,,,,,,,,
